Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ceravola, A.; Joublin, F.; Sadik, A.R.; Bolder, B.; Tolvanen, J.-P.","Ceravola, Antonello (16548832300); Joublin, Frank (16549342900); Sadik, Ahmed R. (57190765837); Bolder, Bram (23007613400); Tolvanen, Juha Pekka (6603914076)",16548832300; 16549342900; 57190765837; 23007613400; 6603914076,HyperGraphOS: A Meta Operating System for Science and Engineering,2025,International Conference on Model-Driven Engineering and Software Development,1,,,64,74,0,0,10.5220/0013164900003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001881186&doi=10.5220%2F0013164900003896&partnerID=40&md5=b078d288fa088f4b7c04ebed3793ffa1,"This paper presents HyperGraphOS, an innovative Operating System (OS) designed for the scientific and engineering domains. It combines model-based engineering, graph modeling, data containers, and computational tools, offering users a dynamic workspace for creating and managing complex models represented as customizable graphs. Using a web-based architecture, HyperGraphOS requires only a modern browser to organize knowledge, documents, and content into interconnected models. Domain-Specific Languages (DSLs) drive workspace navigation, code generation, AI integration, and process organization. The platform’s models function as both visual drawings and data structures, enabling dynamic modifications and inspection, both interactively and programmatically. HyperGraphOS was evaluated across various domains, including virtual avatars, robotic task planning using Large Language Models (LLMs), and meta-modeling for feature-based code development. Results show significant improvements in flexibility, data management, computation, and document handling. By bridging traditional OS functionality with innovative UX design to fulfill the needs of modern applications, HyperGraphOS delivers enhanced productivity and efficiency. Its graph-based model representation and integration with DSLs create a highly flexible, user-friendly environment, making it ideal for a wide range of scientific and engineering contexts. © 2025 Elsevier B.V., All rights reserved.",Agile Model-Based System Engineering; Artificial Intelligence; Domain Specific Languages; Graph-Based Modelling; Operating Systems,Conference paper,Final,,Scopus,2-s2.0-105001881186
"Liu, S.; Fang, W.; Lu, Y.; Wang, J.; Zhang, Q.; Zhang, H.; Xie, Z.","Liu, Shang (58546694000); Fang, Wenji (58308401600); Lu, Yao (58546924200); Wang, Jing (59383839300); Zhang, Qijun (58546925000); Zhang, Hongce (57192213265); Xie, Zhiyao (57204970676)",58546694000; 58308401600; 58546924200; 59383839300; 58546925000; 57192213265; 57204970676,RTLCoder: Fully Open-Source and Efficient LLM-Assisted RTL Code Generation Technique,2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,4,,1448,1461,0,7,10.1109/TCAD.2024.3483089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001068803&doi=10.1109%2FTCAD.2024.3483089&partnerID=40&md5=9df9624a87df32a38f29962a297a57a3,"The automatic generation of RTL code (e.g., Verilog) using natural language instructions and large language models (LLMs) has attracted significant research interest recently. However, most existing approaches heavily rely on commercial LLMs, such as ChatGPT, while open-source LLMs tailored for this specific design generation task exhibit notably inferior performance. The absence of high-quality open-source solutions restricts the flexibility and data privacy of this emerging technique. In this study, we present a new customized LLM solution with a modest parameter count of only 7B, achieving better performance than GPT-3.5 on all representative benchmarks for RTL code generation. Especially, it outperforms GPT-4 in VerilogEval Machine benchmark. This remarkable balance between accuracy and efficiency is made possible by leveraging our new RTL code dataset and a customized LLM algorithm, both of which have been made fully open-source. Furthermore, we have successfully quantized our LLM to 4-bit with a total size of 4 GB, enabling it to function on a single laptop with only slight performance degradation. This efficiency allows the RTL generator to serve as a local assistant for engineers, ensuring all design privacy concerns are addressed. © 2025 Elsevier B.V., All rights reserved.",Dataset generation; hardware code generation; large language model; preference finetuning; Verilog,Article,Final,,Scopus,2-s2.0-105001068803
"Zhang, J.; Li, Y.; Wu, J.; Ren, X.; Pan, Y.; Zhang, Q.","Zhang, Jiangshi (12773911700); Li, Yongtun (57991819100); Wu, Jingru (59154902700); Ren, Xiaofeng (57209609527); Pan, Yu (58632695500); Zhang, Qi (57211813818)",12773911700; 57991819100; 59154902700; 57209609527; 58632695500; 57211813818,Research and application of intelligent methods for analyzing the causes of coal mining accidents; 煤矿事故原因智能分析方法研究与应用,2025,Qinghua Daxue Xuebao/Journal of Tsinghua University,65,3,,555,568,0,0,10.16511/j.cnki.qhdxxb.2025.26.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000064996&doi=10.16511%2Fj.cnki.qhdxxb.2025.26.006&partnerID=40&md5=d8942cd266b534df1903707f11835814,"[Objective] An effective causal analysis of accidents is essential for learning from and preventing coal mine accidents. Manual analysis of accidents is strongly influenced by the subjectivity of the personnel involved and becomes inefficient for analyses involving large volumes of accident and risk text data. Although considerable research has been conducted in the area of accident text mining, most studies directly apply data mining techniques to extract accident information and factors from texts without considering accident causation theories. This approach leads to results that lack systematic and logical coherence. [Methods] To address the aforementioned issues, this paper proposes a method for the intelligent identification of accident causes in the coal mining sector. This method integrates entity recognition, semantic dependency analysis, text classification, and the accident causation ""2-4"" model (24Model). Specific implementation steps for this method are also provided. Accident causation theory is crucial for ensuring the effectiveness and scientific validity of accident analysis. This paper introduces the 24Model as a theoretical basis for accident cause identification, and the advantages of the model in the intelligent analysis of accident causes are highlighted. Entity recognition technology is employed to identify key entity information in accident texts, including information on personnel, organizational structures, accidents, abnormal characteristics, values, safety management, building facilities, environments, equipment and materials, safety policies, procedural documents, and operational processes. To effectively identify this information, this paper integrates the bidirectional encoder representations from transformers(BERT)-bidirectional long short-term memory(BiLSTM)-conditional random fields(CRF) model and trains the combined model using 660 accident texts. This paper utilizes semantic dependency analysis technology to identify the semantic relationships among entity information. Text representation patterns were extracted according to the definitions of unsafe individual actions and organizational factors by the 24Model, and these definitions were used to determine the types of accident causes. This paper utilizes a text classification method to develop a model for identifying individual capability-related causes, and the focus is on five aspects: knowledge, awareness, habits, and psychological and physiological factors. The text classification model was based on BERT. This paper evaluates the accuracy of the proposed method in identifying accident causes by comparing both the entity recognition model and the text classification model with similar models. Test cases were selected, and the results of accident cause analysis via the proposed method were compared with those from manual analysis. Additionally, this paper develops an application based on the proposed method to facilitate the analysis and learning of onsite accident cases by employees of coal mining enterprises. [Results] This research results showed that the precision rates of the trained entity recognition model and the text classification model reached 95.42% and 96.11%, respectively. Additionally, the accuracy of the accident cause identification method, when combined with semantic dependency analysis, reached 73.09%. [Conclusions] The contributions of this paper are as follows: (1) Integration of the definition and concept of the 24Model and the automatic identification of unsafe behaviors according to the 24Model. This approach helps avoid the strong subjectivity and inconsistency often present in accident analysis conducted by different personnel. (2) Further identification of the actors of actions, operational procedures, materials, and equipment. (3) Fusion of multimodel algorithms to identify the causes of accidents, allowing for the rapid analysis of a large number of accidents. (4) Facilitating the application of accident causation theory in coal mining enterprises, enhancing the effectiveness of accident case analysis and learning, thereby achieving the objective of preventing related accidents. © 2025 Elsevier B.V., All rights reserved.","accident causation ""2-4""model; accident causation analysis; named entity recognition; semantic dependency parsing; text classification",Article,Final,,Scopus,2-s2.0-105000064996
"Wiest, I.C.; Ferber, D.; Wittlinger, S.; Ebert, M.P.; Belle, S.; Kather, J.N.","Wiest, Isabella Catharina (57211234746); Ferber, Dyke (57201381975); Wittlinger, Stefan (59372005500); Ebert, Matthias P. (35239660600); Belle, Sebastian (24385475100); Kather, Jakob Nikolas (55550069300)",57211234746; 57201381975; 59372005500; 35239660600; 24385475100; 55550069300,Deep sight: enhancing periprocedural adverse event recording in endoscopy by structuring text documentation with privacy-preserving large language models,2024,iGIE,3,4,,447,452.e5,0,5,10.1016/j.igie.2024.08.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206657900&doi=10.1016%2Fj.igie.2024.08.001&partnerID=40&md5=2ecfa85ed78b30095ac142fbab9513c1,"Background and Aims: The assessment of adverse events from endoscopic procedures is essential for successful interventions, ensuring accurate follow-up, adverse event management, and processing for quality control. Despite the critical need for structured documentation, the current practice often relies on free-text recordings, which poses challenges for scalable intervention analysis; however, the introduction of large language models (LLMs) offers a promising solution by enabling the automatic extraction of adverse event details from procedural reports without altering existing documentation practices. Methods: We analyzed 672 endoscopy reports, using OpenAI's GPT-4 and Llama-2–based models to structure the data in JavaScript Object Notation for efficient analysis. We used an automated LLM pipeline to extract adverse events such as bleeding, perforation, and aspiration. The dataset was divided into a proof-of-concept set (PoC-S) with n = 171 reports, on which we explored prompt engineering to improve the performance of the models. The final analysis was run on an additional external test set of 501 reports. Results: GPT-4 showed high accuracy, with a sensitivity of 97% and specificity of 92% in the PoC-S and 91% and 96%, respectively, in the test set. GPT-4 use in real-world settings is limited by privacy concerns. Conversely, Llama-2–based models, especially the Llama-2 variants fine-tuned for German language, demonstrated comparable performance (PoC-S: sensitivity of 94%; specificity of 92%, in the test set (TS): sensitivity of 89%; specificity of 93%) and offered a viable privacy-compliant alternative. The model effectiveness was further influenced by the method of prompt engineering, with experiments showing that the specificity and sensitivity could vary substantially based on the inclusion of specific prompt features, underscoring the importance of tailored prompt design. Conclusions: Applying LLMs to extract structured medical information, particularly from endoscopy reports, offers an efficient, scalable, and adaptable documentation method that captures adverse events accurately with a low error rate. It facilitates immediate quality reporting and reduces manual documentation efforts. © 2024 Elsevier B.V., All rights reserved.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85206657900
"Li, J.; Li, Y.; Pan, Y.; Guo, J.; Sun, Z.; Li, F.; He, Y.; Tao, C.","Li, Jianfu (57214731196); Li, Yiming (57953353000); Pan, Yuanyi (58644812700); Guo, Jinjing (58644137500); Sun, Zenan (58084688000); Li, Fang (57207457538); He, Yongqun Oliver (7404942594); Tao, Cui (57226696256)",57214731196; 57953353000; 58644812700; 58644137500; 58084688000; 57207457538; 7404942594; 57226696256,Mapping vaccine names in clinical trials to vaccine ontology using cascaded fine-tuned domain-specific language models,2024,Journal of Biomedical Semantics,15,1,14,,,0,7,10.1186/s13326-024-00318-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200874420&doi=10.1186%2Fs13326-024-00318-x&partnerID=40&md5=e7f402a67d05c1e4f88408c00a611cf4,"Background: Vaccines have revolutionized public health by providing protection against infectious diseases. They stimulate the immune system and generate memory cells to defend against targeted diseases. Clinical trials evaluate vaccine performance, including dosage, administration routes, and potential side effects. ClinicalTrials.gov is a valuable repository of clinical trial information, but the vaccine data in them lacks standardization, leading to challenges in automatic concept mapping, vaccine-related knowledge development, evidence-based decision-making, and vaccine surveillance. Results: In this study, we developed a cascaded framework that capitalized on multiple domain knowledge sources, including clinical trials, the Unified Medical Language System (UMLS), and the Vaccine Ontology (VO), to enhance the performance of domain-specific language models for automated mapping of VO from clinical trials. The Vaccine Ontology (VO) is a community-based ontology that was developed to promote vaccine data standardization, integration, and computer-assisted reasoning. Our methodology involved extracting and annotating data from various sources. We then performed pre-training on the PubMedBERT model, leading to the development of CTPubMedBERT. Subsequently, we enhanced CTPubMedBERT by incorporating SAPBERT, which was pretrained using the UMLS, resulting in CTPubMedBERT + SAPBERT. Further refinement was accomplished through fine-tuning using the Vaccine Ontology corpus and vaccine data from clinical trials, yielding the CTPubMedBERT + SAPBERT + VO model. Finally, we utilized a collection of pre-trained models, along with the weighted rule-based ensemble approach, to normalize the vaccine corpus and improve the accuracy of the process. The ranking process in concept normalization involves prioritizing and ordering potential concepts to identify the most suitable match for a given context. We conducted a ranking of the Top 10 concepts, and our experimental results demonstrate that our proposed cascaded framework consistently outperformed existing effective baselines on vaccine mapping, achieving 71.8% on top 1 candidate’s accuracy and 90.0% on top 10 candidate’s accuracy. Conclusion: This study provides a detailed insight into a cascaded framework of fine-tuned domain-specific language models improving mapping of VO from clinical trials. By effectively leveraging domain-specific information and applying weighted rule-based ensembles of different pre-trained BERT models, our framework can significantly enhance the mapping of VO from clinical trials. © 2024 Elsevier B.V., All rights reserved.",Clinical trials; Domain-specific Language models; Normalization; Vaccine ontology,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85200874420
"Zhou, W.; Li, X.; Zabihollahy, F.; Lu, D.S.; Wu, H.H.","Zhou, Wenqi (58952036400); Li, Xinzhou (57209603378); Zabihollahy, Fatemeh (57190665836); Lu, David Shinkuo K. (7403079272); Wu, Holden H. (36438746000)",58952036400; 57209603378; 57190665836; 7403079272; 36438746000,Deep learning-based automatic pipeline for 3D needle localization on intra-procedural 3D MRI,2024,International Journal of Computer Assisted Radiology and Surgery,19,11,,2227,2237,0,5,10.1007/s11548-024-03077-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188418239&doi=10.1007%2Fs11548-024-03077-3&partnerID=40&md5=0e3800eb10201645cb691fec8159e5e5,"Purpose: Accurate and rapid needle localization on 3D magnetic resonance imaging (MRI) is critical for MRI-guided percutaneous interventions. The current workflow requires manual needle localization on 3D MRI, which is time-consuming and cumbersome. Automatic methods using 2D deep learning networks for needle segmentation require manual image plane localization, while 3D networks are challenged by the need for sufficient training datasets. This work aimed to develop an automatic deep learning-based pipeline for accurate and rapid 3D needle localization on in vivo intra-procedural 3D MRI using a limited training dataset. Methods: The proposed automatic pipeline adopted Shifted Window (Swin) Transformers and employed a coarse-to-fine segmentation strategy: (1) initial 3D needle feature segmentation with 3D Swin UNEt TRansfomer (UNETR); (2) generation of a 2D reformatted image containing the needle feature; (3) fine 2D needle feature segmentation with 2D Swin Transformer and calculation of 3D needle tip position and axis orientation. Pre-training and data augmentation were performed to improve network training. The pipeline was evaluated via cross-validation with 49 in vivo intra-procedural 3D MR images from preclinical pig experiments. The needle tip and axis localization errors were compared with human intra-reader variation using the Wilcoxon signed rank test, with p < 0.05 considered significant. Results: The average end-to-end computational time for the pipeline was 6 s per 3D volume. The median Dice scores of the 3D Swin UNETR and 2D Swin Transformer in the pipeline were 0.80 and 0.93, respectively. The median 3D needle tip and axis localization errors were 1.48 mm (1.09 pixels) and 0.98°, respectively. Needle tip localization errors were significantly smaller than human intra-reader variation (median 1.70 mm; p < 0.01). Conclusion: The proposed automatic pipeline achieved rapid pixel-level 3D needle localization on intra-procedural 3D MRI without requiring a large 3D training dataset and has the potential to assist MRI-guided percutaneous interventions. © 2024 Elsevier B.V., All rights reserved.",Deep learning; Device tracking; Image segmentation; Interventional MRI; Needle feature; Transformer networks,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85188418239
"Tomita, H.; Ienaga, N.; Kajita, H.; Hayashida, T.; Sugimoto, M.","Tomita, Hisako (57388141700); Ienaga, Naoto (56938798100); Kajita, Hiroki (57193484642); Hayashida, Testsu (7006623173); Sugimoto, Maki (9638451700)",57388141700; 56938798100; 57193484642; 7006623173; 9638451700,An analysis on the effect of body tissues and surgical tools on workflow recognition in first person surgical videos,2024,International Journal of Computer Assisted Radiology and Surgery,19,11,,2195,2202,0,0,10.1007/s11548-024-03074-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185936536&doi=10.1007%2Fs11548-024-03074-6&partnerID=40&md5=416a6002104e423f8d83ca1c617230f2,"Purpose : Analysis of operative fields is expected to aid in estimating procedural workflow and evaluating surgeons’ procedural skills by considering the temporal transitions during the progression of the surgery. This study aims to propose an automatic recognition system for the procedural workflow by employing machine learning techniques to identify and distinguish elements in the operative field, including body tissues such as fat, muscle, and dermis, along with surgical tools. Methods : We conducted annotations on approximately 908 first-person-view images of breast surgery to facilitate segmentation. The annotated images were used to train a pixel-level classifier based on Mask R-CNN. To assess the impact on procedural workflow recognition, we annotated an additional 43,007 images. The network, structured on the Transformer architecture, was then trained with surgical images incorporating masks for body tissues and surgical tools. Results : The instance segmentation of each body tissue in the segmentation phase provided insights into the trend of area transitions for each tissue. Simultaneously, the spatial features of the surgical tools were effectively captured. In regard to the accuracy of procedural workflow recognition, accounting for body tissues led to an average improvement of 3 % over the baseline. Furthermore, the inclusion of surgical tools yielded an additional increase in accuracy by 4 % compared to the baseline. Conclusion : In this study, we revealed the contribution of the temporal transition of the body tissues and surgical tools spatial features to recognize procedural workflow in first-person-view surgical videos. Body tissues, especially in open surgery, can be a crucial element. This study suggests that further improvements can be achieved by accurately identifying surgical tools specific to each procedural workflow step. © 2024 Elsevier B.V., All rights reserved.",Body tissues; Segmentation; Surgical tools; The first-person-view surgical video; Workflow recognition,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85185936536
"Kim, G.; Viswanathan, A.N.; Bhatia, R.; Landman, Y.; Roumeliotis, M.; Erickson, B.; Schmidt, E.J.; Lee, J.","Kim, Gayoung (57190116527); Viswanathan, Akila N. (7006598230); Bhatia, Rohini K. (57201394676); Landman, Yosef (57199153962); Roumeliotis, Michael B. (57197755787); Erickson, Beth A. (7201472710); Schmidt, Ehud Jeruham (7402694084); Lee, Junghoon (35268908000)",57190116527; 7006598230; 57201394676; 57199153962; 57197755787; 7201472710; 7402694084; 35268908000,Dual convolution-transformer UNet (DCT-UNet) for organs at risk and clinical target volume segmentation in MRI for cervical cancer brachytherapy,2024,Physics in Medicine and Biology,69,21,,,,0,3,10.1088/1361-6560/ad84b2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206957430&doi=10.1088%2F1361-6560%2Fad84b2&partnerID=40&md5=7e27479c92fdfccd36214272508bdeac,"Objective. MRI is the standard imaging modality for high-dose-rate brachytherapy of cervical cancer. Precise contouring of organs at risk (OARs) and high-risk clinical target volume (HR-CTV) from MRI is a crucial step for radiotherapy planning and treatment. However, conventional manual contouring has limitations in terms of accuracy as well as procedural time. To overcome these, we propose a deep learning approach to automatically segment OARs (bladder, rectum, and sigmoid colon) and HR-CTV from female pelvic MRI.Approach. In the proposed pipeline, a coarse multi-organ segmentation model first segments all structures, from which a region of interest is computed for each structure. Then, each organ is segmented using an organ-specific fine segmentation model separately trained for each organ. To account for variable sizes of HR-CTV, a size-adaptive multi-model approach was employed. For coarse and fine segmentations, we designed a dual convolution-transformer UNet (DCT-UNet) which uses dual-path encoder consisting of convolution and transformer blocks. To evaluate our model, OAR segmentations were compared to the clinical contours drawn by the attending radiation oncologist. For HR-CTV, four sets of contours (clinical + three additional sets) were obtained to produce a consensus ground truth as well as for inter/intra-observer variability analysis.Main results. DCT-UNet achieved dice similarity coefficient (mean ± SD) of 0.932 ± 0.032 (bladder), 0.786 ± 0.090 (rectum), 0.663 ± 0.180 (sigmoid colon), and 0.741 ± 0.076 (HR-CTV), outperforming other state-of-the-art models. Notably, the size-adaptive multi-model significantly improved HR-CTV segmentation compared to a single-model. Furthermore, significant inter/intra-observer variability was observed, and our model showed comparable performance to all observers. Computation time for the entire pipeline per subject was 12.59 ± 0.79 s, which is significantly shorter than the typical manual contouring time of >15 min.Significance. These experimental results demonstrate that our model has great utility in cervical cancer brachytherapy by enabling fast and accurate automatic segmentation, and has potential in improving consistency in contouring. DCT-UNet source code is available athttps://github.com/JHU-MICA/DCT-UNet. This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine",brachytherapy; cervical cancer; HR-CTV; OARs; segmentation,Article,Final,,Scopus,2-s2.0-85206957430
"Agrawal, S.; Farajian, A.; Fernandes, P.; Rei, R.; Martins, A.F.T.","Agrawal, Sweta (57216693439); Farajian, Mohammad Amin (55355181100); Fernandes, Patrick (57210639866); Rei, Ricardo (57217099272); Martins, André F.T. (55937372200)",57216693439; 55355181100; 57210639866; 57217099272; 55937372200,Assessing the Role of Context in Chat Translation Evaluation: Is Context Helpful and Under What Conditions?,2024,Transactions of the Association for Computational Linguistics,12,,,1250,1267,0,0,10.1162/tacl_a_00700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206353190&doi=10.1162%2Ftacl_a_00700&partnerID=40&md5=1e0fe4642a4ecaed2fe27c9e6e4e0ff7,"Despite the recent success of automatic metrics for assessing translation quality, their application in evaluating the quality of machine-translated chats has been limited. Unlike more structured texts like news, chat conversations are often unstructured, short, and heavily reliant on contextual information. This poses questions about the reliability of existing sentence-level metrics in this domain as well as the role of context in assessing the translation quality. Motivated by this, we conduct a meta-evaluation of existing automatic metrics, primarily designed for structured domains such as news, to assess the quality of machine-translated chats. We find that reference-free metrics lag behind referencebased ones, especially when evaluating translation quality in out-of-English settings. We then investigate how incorporating conversational contextual information in these metrics for sentence-level evaluation affects their performance. Our findings show that augmenting neural learned metrics with contextual information helps improve correlation with human judgments in the reference-free scenario and when evaluating translations in out-of-English settings. Finally, we propose a new evaluation metric, CONTEXT-MQM, that utilizes bilingual context with a large language model (LLM) and further validate that adding context helps even for LLM-based evaluation metrics. © 2024 Elsevier B.V., All rights reserved.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85206353190
"Kogler, P.; Chen, W.; Falkner, A.; Haselböck, A.; Wallner, S.","Kogler, Philipp (59325402000); Chen, Wei (57212514483); Falkner, Andreas A. (8717103100); Haselböck, Alois (6507947727); Wallner, Stefan (57197142768)",59325402000; 57212514483; 8717103100; 6507947727; 57197142768,Modelling Engineering Processes in Natural Language: A Case Study,2024,,,,,170,178,0,0,10.1145/3646548.3672584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203808479&doi=10.1145%2F3646548.3672584&partnerID=40&md5=31c61248868bf9e8f53d49d0c02735c0,"Engineering process management aims to formally specify processes which are executable, measurable, and controllable. Common representations include text-based domain-specific languages (DSLs) or graphical notations such as the Business Process Modelling Notation (BPMN). The specification itself can be seen as a Software Product Line (SPL), building upon concepts such as tasks, UI forms, fields and actions. Domain experts provide requirements for processes but often lack the technical programming skills to formalize them in a process specification language. We present an interactive SPL application prototype that allows domain experts to model simple processes in natural language. Our framework for the reliable generation of formal specifications with Large Language Models (LLMs) supports the machine-translation from natural language to a JSON-based process DSL. In this case study, five domain experts were asked to model any process of their choice through natural-language interactions. As a result, the user interface corresponding to the process DSL was shown as immediate feedback. We documented their perceived translation quality and interviewed them on their impressions of this methodology. An average user-assessed performance rating of 68% was achieved. Even though the modelling strategies differed greatly between individuals, the tool was able to adequately capture the majority of instructions, leaving an overall positive impression on the participants. More context awareness and additional conventional interaction elements were the main aspects found to be improved for a productive implementation. © 2024 Elsevier B.V., All rights reserved.",Domain-specific Languages; Generative Artificial Intelligence; Large Language Models; Process Management; Process Modelling; Reliable Code Generation,Conference paper,Final,,Scopus,2-s2.0-85203808479
"Schneider, N.; Hasabnis, N.; Vo, V.A.; Kadosh, T.; Krien, N.; Capotǎ, M.; Tamir, G.; Willke, T.L.; Ahmed, N.; Pinter, Y.; Mattson, T.; Oren, G.","Schneider, Nadav (57796167100); Hasabnis, Niranjan (55130578600); Vo, Vy A. (56389448000); Kadosh, Tal (58316414400); Krien, Neva (58576156700); Capotǎ, Mihai (36668315200); Tamir, Guy (58198616300); Willke, Theodore L. (55800666200); Ahmed, Nesreen K. (36456907300); Pinter, Yuval (56730953200); Mattson, Timothy G. (6701771451); Oren, Gal (57191483256)",57796167100; 55130578600; 56389448000; 58316414400; 58576156700; 36668315200; 58198616300; 55800666200; 36456907300; 56730953200; 6701771451; 57191483256,MPIrigen: MPI Code Generation through Domain-Specific Language Models,2024,,,,,1,6,0,2,10.1145/3660605.3660944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205021525&doi=10.1145%2F3660605.3660944&partnerID=40&md5=70ec90b3074290a61da0842f7eead1cb,"The imperative need to scale computation across numerous nodes highlights the significance of efficient parallel computing, particularly in the realm of Message Passing Interface (MPI) integration. While MPI serves as a cornerstone for large-scale parallelism, its seamless integration into codebases, especially concerning domain decomposition, has proven challenging. Static tools aimed at addressing this challenge have exhibited limited effectiveness and scalability. On the other hand, contemporary language models designed for programming problems have demonstrated utility in parallel programming tasks such as OpenMP pragma generation. However, the challenging parallel programming task of generating MPI-based parallel programs has remained unexplored.This study first investigates the performance of state-of-the-art language models in generating MPI-based parallel programs. Findings reveal that widely used models such as GPT-3.5 and PolyCoder (specialized multi-lingual code models) exhibit notable performance degradation when generating MPI-based programs compared to general-purpose programs. In contrast, domain-specific models such as MonoCoder, which are pre-trained on MPI-related programming languages of C and C++, outperform larger models. Subsequently, we introduce a dedicated downstream task of MPI-based program generation by fine-tuning MonoCoder on HPCorpusMPI. We call the resulting model as MPIrigen. We propose an innovative preprocessing for completion only after observing the whole code, thus enabling better completion with a wider context. Comparative analysis against GPT-3.5 zero-shot performance, using a novel HPC-oriented evaluation method, demonstrates that MPIrigen excels in generating accurate MPI functions calls. The success of this tailored solution underscores the importance of domain-specific fine-tuning in optimizing language models for parallel computing code generation, paving the way for a new generation of automatic parallelization tools.The sources of this work are available at our GitHub MPIrigen repository. © 2024 Elsevier B.V., All rights reserved.",AI; code generation; domain decomposition; LLM; MPI; transformer,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205021525
,,,"AI4Sys 2024 - Proceedings of the 2024 Workshop on AI For Systems, Part of: HPDC 2024 - 33rd International Symposium on High-Performance Parallel and Distributed Computing",2024,,,,,,,23,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204962461&partnerID=40&md5=c96bf7268bcdb5b34554bc3518c5de7f,"The proceedings contain 3 papers. The topics discussed include: ECO-LLM: LLM-based edge cloud optimization; toward using representation learning for cloud resource usage forecasting; and MPIrigen: MPI code generation through domain-specific language models. © 2024 Elsevier B.V., All rights reserved.",,Conference review,Final,,Scopus,2-s2.0-85204962461
"Shaoze, F.; Gang, G.; Hongmei, Z.","Shaoze, Fu (59229048700); Gang, Gao (59228807100); Hongmei, Zhao (59229407400)",59229048700; 59228807100; 59229407400,APPLICATION OF COMPUTER VISION TECHNOLOGY IN ATHLETES CLINICAL MEDICAL RECORD IMAGE BIOMETRIC EXTRACTION,2024,Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,24,96,,520,539,0,0,10.15366/rimcafd2024.96.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199307039&doi=10.15366%2Frimcafd2024.96.032&partnerID=40&md5=2e856d89920236c5a46b5bfed94b8d11,"With the development of clinical informatization technology, a large amount of data resources has been accumulated in the medical field, among which Athletes’ electronic medical records (EMRs) are one of the important data sources of clinical informatization and contain rich medical knowledge, how to obtain valuable biometric features from these data has become the basis of medical intelligence research. Therefore, this paper takes structured text as the entry point, and firstly, the research status of information extraction is elaborated. Moreover, in the work of e-medical biometrics recognition, medical text is added to the language model BERT for pre-training and fine-tuning, and a multi-head self-attention mechanism is introduced to incorporate a bidirectional LSTM model for feature extraction, and biometric features are extracted by using a stochastic conditional field as a classification constraint. This design bypasses the character-level image segmentation step for text line images, thus avoiding the overall accuracy degradation caused by the backward accumulation of errors in character segmentation. Finally, the experimental results show that the model can effectively accomplish the related biological feature extraction tasks. © 2024 Elsevier B.V., All rights reserved.",Automatic Extraction; Biological Features; Computer Vision; Electronic Medical Record Image,Article,Final,,Scopus,2-s2.0-85199307039
