Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
VGV: Verilog Generation using Visual Capabilities of Multi-Modal Large Language Models,S. -Z. Wong; G. -W. Wan; D. Liu; X. Wang,"National Center of Technology, Innovation for EDA, Nanjing, Jiangsu, China; National Center of Technology, Innovation for EDA, Nanjing, Jiangsu, China; Amazon Web Services, Amazon China, Shenzhen, Guangdong, China; School of Integrated Circuit, Southeast University, Nanjing, Jiangsu, China",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"This paper investigates the use of multimodal large language models (MMLLMs) for generating Verilog code from visual inputs, addressing the challenge of describing complex system architectures. It explores the potential of these models to map visual information from circuit diagrams to Verilog, due to the lack of standardized microarchitecture diagrams in the industry. A difficulty-graded benchmark is introduced to test the LLMs’ generative capabilities. Additionally, the study proposes “Thinking Vision,” a novel visual acquisition method for RTL generation, which has significantly enhanced success rates in open-source multimodal models by over 50%. The paper concludes with an evaluation of multimodal LLMs’ performance and suggestions for improving visual processing capabilities for complex architectures.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691753,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691753,,Industries;Visualization;Microarchitecture;Codes;Large language models;Conferences;Benchmark testing;Hardware design languages;Integrated circuit modeling;Complex systems,,3.0,,15.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
"Speculative Decoding for Verilog: Speed and Quality, All in One",C. Xu; Y. Liu; Y. Zhou; S. Huang; N. Xu; Q. Xu,"The Chinese University of Hong Kong Shatin, Hong Kong, S.A.R; The Chinese University of Hong Kong Shatin, Hong Kong, S.A.R; The Chinese University of Hong Kong Shatin, Hong Kong, S.A.R; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; The Chinese University of Hong Kong Shatin, Hong Kong, S.A.R",2025 62nd ACM/IEEE Design Automation Conference (DAC),15 Sep 2025,2025,,,1,7,"The rapid advancement of large language models (LLMs) has revolutionized code generation tasks across various programming languages. However, the unique characteristics of programming languages, particularly those like Verilog with specific syntax and lower representation in training datasets, pose significant challenges for conventional tokenization and decoding approaches. In this paper, we introduce a novel application of speculative decoding for Verilog code generation, showing that it can improve both inference speed and output quality, effectively achieving speed and quality all in one. Unlike standard LLM tokenization schemes, which often fragment meaningful code structures, our approach aligns decoding stops with syntactically significant tokens, making it easier for models to learn the token distribution. This refinement addresses inherent tokenization issues and enhances the model’s ability to capture Verilog’s logical constructs more effectively. Our experimental results show that our method achieves up to a $5.05 \times$ speedup in Verilog code generation and increases pass@10 functional accuracy on RTLLM by up to $\mathbf{1 7. 1 9 \%}$ compared to conventional training strategies. These findings highlight speculative decoding as a promising approach to bridge the quality gap in code generation for specialized programming languages.",,979-8-3315-0304-8,10.1109/DAC63849.2025.11133030,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11133030,Verilog code generation;speculative decoding,Training;Codes;Accuracy;Semantics;Syntactics;Reliability engineering;Tokenization;Decoding;Hardware design languages;Standards,,,,37.0,IEEE,15 Sep 2025,,,IEEE,IEEE Conferences
Training LLMs for Generating IEC 61131-3 Structured Text with Online Feedback,A. Haag; B. Fuchs; A. Kacan; O. Lohse,"Technology Department, Siemens, Munich, Germany; Technology Department, Siemens, Munich, Germany; Technology Department, Siemens, Munich, Germany; Technology Department, Siemens, Munich, Germany",2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),12 Jun 2025,2025,,,65,71,"IEC 61131-3 Structured Text (ST) is a widely used programming language for programmable logic controllers (PLCs) in automation systems. However, generating ST code with LLMs poses unique challenges due to limited data in public training datasets and the complexity of ST language syntax. This paper proposes an approach to fine-tune LLMs for the generation of ST code that leverages a preference-based learning method through an online process involving compiler feedback and evaluation from an LLM-based ST expert. In this framework, the model is iteratively refined and generates new training samples, which are subsequently evaluated by a compiler for syntactical correctness and by a specialized LLM that excels at assessing semantic accuracy, though it is not optimized for code generation itself. This approach results in marked improvements for the trained LLM, leading to higher compilation success rates and better semantic precision. As a result, the framework proves highly suitable for industrial automation applications and outperforms state-of-the-art models.",,979-8-3315-2615-3,10.1109/LLM4Code66737.2025.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028556,IEC 61131-3;LLMs;LLM Fine-tuning;Compiler feedback,Training;Computer languages;Codes;Automation;Semantics;Programmable logic devices;Syntactics;Iterative methods;IEC Standards;Synthetic data,,2.0,,38.0,IEEE,12 Jun 2025,,,IEEE,IEEE Conferences
GEMMV: An LLM-Based Automated Performance-Aware Framework for GEMM Verilog Generation,G. Zhang; D. Zou; K. Sun; Z. Chen; M. Wang; Z. Wang,"School of Electronic Science and Engineering, Nanjing University, Nanjing, China; School of Electronic Science and Engineering, Nanjing University, Nanjing, China; School of Integrated Circuits, Shenzhen Campus of Sun Yat-sen University, Shenzhen, China; School of Integrated Circuits, Shenzhen Campus of Sun Yat-sen University, Shenzhen, China; School of Integrated Circuits, Shenzhen Campus of Sun Yat-sen University, Shenzhen, China; School of Electronic Science and Engineering, Nanjing University, Nanjing, China",IEEE Journal on Emerging and Selected Topics in Circuits and Systems,25 Jun 2025,2025,15,2.0,325,336,"Recent advancements in artificial intelligence (AI) models have intensified the need for specialized AI accelerators. The design of optimized general matrix multiplication (GEMM) module tailored for these accelerators is crucial but time-consuming and expertise-demanding, creating a demand for automating design processes. Large language models (LLMs), capable of generating high-quality designs from human instructions, show great promise in automating GEMM module creation. However, the GEMM module’s vast design space and stringent performance requirements, along with the limitations of datasets and the lack of hardware performance awareness of LLMs, have made previous LLM-based register transfer level (RTL) code generation efforts unsuitable for GEMM design. To tackle these challenges, this paper proposes an automated performance-aware LLM-based framework, GEMMV, for generating high-correctness and high-performance Verilog code for GEMM. This framework utilizes in-context learning based on GPT-4 to automatically generate high-quality and well-annotated Verilog code for different variants of the GEMM. Additionally, it leverages in-context learning to obtain performance awareness by integrating a multi-level performance model (MLPM) with fine-tuned LLMs. The Verilog code generated by this framework reduces latency by 3.1x and improves syntax correctness by 65% and functionality correctness by 70% compared to earlier efforts.",2156-3365,,10.1109/JETCAS.2025.3568712,National Key Research and Development Program of China(grant numbers:2022YFB4400600); National Natural Science Foundation of China(grant numbers:62404256); Postgraduate Research and Practice Innovation Program of Jiangsu Province(grant numbers:149); Key Project of Shenzhen Basic Research Program(grant numbers:JCYJ20241206180301003); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10994474,AI accelerators;design automation;LLMs;fine-tuning;GEMM,Adders;Hardware design languages;Codes;Hardware;Artificial intelligence;AI accelerators;Register transfer level;Training;Syntactics;Optimization,,,,44.0,IEEE,9 May 2025,,,IEEE,IEEE Journals
Effective Text Adaptation For LLM-Based ASR Through Soft Prompt Fine-Tuning,Y. Ma; Z. Liu; O. Kalinli,"Meta AI, Menlo Park, CA, USA; Meta AI, Menlo Park, CA, USA; Meta AI, Menlo Park, CA, USA",2024 IEEE Spoken Language Technology Workshop (SLT),16 Jan 2025,2024,,,64,69,"The advent of Large Language Models (LLM) has reformed the Automatic Speech Recognition (ASR). Prompting LLM with audio embeddings to generate transcriptions becomes the new state-of-the-art ASR. Despite LLMs being trained with an extensive amount of text corpora, high-quality domain-specific text data can still significantly enhance ASR performance on domain adaptation tasks. Although LLM-based ASR can naturally incorporate more text corpora by fine-tuning the LLM decoder, fine-tuning such ASR on text-only data without paired prompts may diminish the effectiveness of domain-specific knowledge. To mitigate this issue, we propose a two-step soft prompt fine-tuning strategy that enhances domain-specific text adaptation. Experimental results show that text adaptation with our proposed method achieved a relative up to 9% Word Error Rate (WER) reduction and up to 18% Entity Error Rate (EER) reduction on the target domain compared to the baseline ASR. Combining this with domain-specific Language Model (LM) fusion can further improve the EER by a relative 2-5%.",,979-8-3503-9225-8,10.1109/SLT61566.2024.10832227,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832227,Text adaptation;LLM-based ASR;soft prompt,Adaptation models;Error analysis;Large language models;Conferences;Decoding;Domain specific languages;Automatic speech recognition,,1.0,,32.0,IEEE,16 Jan 2025,,,IEEE,IEEE Conferences
RoSum-Mcts: Monte Carlo Tree Search-Inspired HDL Code Summarization with Structural Rewards,P. Vijayaraghavan; C. Mackin; L. Shi; A. Nitsure; A. Jadhav; D. Beymer; T. Baldwin; E. Degan; V. Mukherjee,"IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA",2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,156,163,"Large language models (LLMs) have shown promise in code summarization, yet their effectiveness for Hardware Description Languages (HDLs) like VHDL and Verilog remains underexplored. We propose RoSum-Mcts, an LLM-guided approach inspired by Monte Carlo Tree Search (MCTS) that refines summaries through structured exploration and reinforcement-driven optimization. Our method integrates both local and global context via a hierarchical candidate expansion mechanism and optimizes summaries using a composite reward function balancing functional correctness (FC), local content adequacy (LCA), and fluency. We evaluate RoSum-Mcts on the VHDL-eval and Verilog-eval datasets, demonstrating its consistent outperformance over baseline methods by leveraging structured bottom-up refinement and reinforcement-based optimization. Ablation studies confirm the necessity of both local and global expansion strategies, as well as the importance of balancing FC and LCA for optimal performance. Furthermore, RoSum-Mcts proves robust against superficial modifications, such as variable renaming, maintaining summary quality where baselines degrade. These results establish RoSum-Mcts as an effective and robust HDL summarization framework, paving the way for further research into reinforcement-enhanced code summarization.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105991,HDL Code Summarization;MCTS;Monte Carlo Tree Search;LLM;Functional Correctness;Local Content Adequacy;Bottom-up refinement;Verilog;VHDL;AST;Code Explanation;Code Summarization,Codes;Monte Carlo methods;VHDL;Large language models;Refining;Hardware;Optimization;Tuning,,,,27.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
Benchmarking Large Language Models for Automated Verilog RTL Code Generation,S. Thakur; B. Ahmad; Z. Fan; H. Pearce; B. Tan; R. Karri; B. Dolan-Gavitt; S. Garg,New York University; New York University; New York University; New York University; University of Calgary; New York University; New York University; New York University,"2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)",2 Jun 2023,2023,,,1,6,"Automating hardware design could obviate a signif-icant amount of human error from the engineering process and lead to fewer errors. Verilog is a popular hardware description language to model and design digital systems, thus generating Verilog code is a critical first step. Emerging large language models (LLMs) are able to write high-quality code in other programming languages. In this paper, we characterize the ability of LLMs to generate useful Verilog. For this, we fine-tune pre-trained LLMs on Verilog datasets collected from GitHub and Verilog textbooks. We construct an evaluation framework comprising test-benches for functional analysis and a flow to test the syntax of Verilog code generated in response to problems of varying difficulty. Our findings show that across our problem scenarios, the fine-tuning results in LLMs more capable of producing syntactically correct code (25.9% overall). Further, when analyzing functional correctness, a fine-tuned open-source CodeGen LLM can outperform the state-of-the-art commercial Codex LLM (6.5% overall). We release our training/evaluation scripts and LLM checkpoints as open source contributions.",1558-1101,979-8-3503-9624-9,10.23919/DATE56975.2023.10137086,"NSF(grant numbers:1553419,1646671,2039607); ARO(grant numbers:77191NC); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137086,Transformers;Verilog;GPT;LLM,Codes;Digital systems;Syntactics;Benchmark testing;Transformers;Hardware;Functional analysis,,113.0,,15.0,,2 Jun 2023,,,IEEE,IEEE Conferences
LLM vs HLS for RTL Code Generation: Friend or Foe?,S. Bhattacharyya; S. B. G; C. Karfa,NA; NA; NA,2024 IEEE 33rd Asian Test Symposium (ATS),14 Mar 2025,2024,,,1,6,"High-Level Synthesis (HLS) tools are widely used for the efficient transformations of behavioural code into equivalent hardware in Register Transfer Level (RTL). However, recent studies show that Large Language Models (LLMs) can be used to generate Verilog or equivalent hardware descriptions directly from behavioural descriptions, making LLMs a potential ‘foe’ for HLS. While LLMs can generate RTL code, they lack certain fine aspects like control over design constraints and optimizations and the inability to handle large behavioural designs. In this paper, we show how LLM can be a ‘friend’ of HLS in generating RTL directly from behavioural descriptions. Although HLS tools have matured over the years, making the input code synthesizable, applying correct pragmas and source code optimizations are still manual efforts in the HLS. LLMs can make hardware accelerator design with HLS easier by automating these manual steps. We show that LLMs are efficient in resolving synthesis issues and optimizing course code for HLS. We have used performance to hardware gain to evaluate the LLMs’ performance in optimizing code adhering to resource usage. We perform our experiments on image processing tasks as benchmarks and discuss where LLM can perform well as well as the issues faced by it when trying to maximize the performance to hardware gain.",2377-5386,979-8-3315-2916-1,10.1109/ATS64447.2024.10915452,Semiconductor Research Corporation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10915452,High Level Synthesis;LLM;RTL,Codes;Image resolution;Source coding;Large language models;Manuals;Streaming media;Register transfer level;Hardware;Space exploration;Optimization,,,,20.0,IEEE,14 Mar 2025,,,IEEE,IEEE Conferences
Beyond Verilog: Agents for Emerging HDLs,F. Rabiei; M. Zakharov; J. Renau,"University of California Santa Cruz Computer Science and Engineering, Santa Cruz, USA; University of California Santa Cruz Computer Science and Engineering, Santa Cruz, USA; University of California Santa Cruz Computer Science and Engineering, Santa Cruz, USA",2025 IEEE International Conference on Omni-layer Intelligent Systems (COINS),22 Aug 2025,2025,,,1,7,"Large Language Models (LLMs) are transforming the programming language landscape, but their effectiveness is limited for niche Hardware Description Languages (HDLs) due to insufficient training data. This paper introduces HDLAgent, an agentic AI framework that enhances LLMs’ proficiency with underrepresented HDLs.Our agent employs two key mechanisms: HDL description summaries that facilitate knowledge transfer from familiar languages like Verilog, and enhanced grounding through compiler error feedback. We demonstrate that HDLAgent significantly improves code generation across multiple HDLs. For example, PyRTL’s functional correctness rate improves from 0% to 35% with Mixtral 8x7B, and Chisel’s success rate increases from 0% to 59% with GPT-3.5-turbo. For small code samples (under 25 lines), HDLAgent achieves over 90% success across all tested HDLs. Beyond performance metrics, we provide insights on scalability limitations with increasing code complexity and propose modifications to HDL designs that could better accommodate LLM-based generation.",2996-5330,979-8-3315-2037-3,10.1109/COINS65080.2025.11125745,Google; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11125745,Large Language Models;Hardware Description Languages;AI-enhanced coding;Code generation;Verilog;PyRTL;Chisel;DSLX,Codes;Grounding;Large language models;Scalability;Training data;Performance metrics;Encoding;Hardware design languages;Intelligent systems;Knowledge transfer,,,,23.0,IEEE,22 Aug 2025,,,IEEE,IEEE Conferences
Prompting Matters: Assessing the Effect of Prompting Techniques on LLM-Generated Class Code,A. Yuen; J. Pangas; M. M. H. Polash; A. Abdellatif,"University of Calgary, Calgary, Canada; University of Calgary, Calgary, Canada; University of Calgary, Calgary, Canada; University of Calgary, Calgary, Canada",2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),31 Oct 2025,2025,,,803,808,"The field of software engineering and coding has undergone a significant transformation. The integration of large language models (LLMs), such as ChatGPT, into software development workflows is changing how developers at all skill levels approach coding tasks. Leveraging the capabilities of LLMs, developers can now implement functionalities, fix bugs, and address reviewers' comments more efficiently. However, prior research shows that the effectiveness of LLM-generated code is heavily influenced by the prompting strategy used. Furthermore, generating code at the class level is significantly more complex than at the method level, as it requires maintaining consistency across multiple methods and managing class state. Therefore, this study evaluates the impact of four prompting strategies (i.e., Zero-Shot, Few-Shot, Chain-of-Thought, and Chain-of-Thought-Few-Shot) on GPT and Llama3 in generating class-level code. It assesses the functional correctness and the quality characteristics of the generated code. To better understand how errors differ by prompting strategy, a qualitative analysis of the generated code is conducted for test cases that fail. The findings show that strategies incorporating more contextual guidance (Few-Shot, Chain-of-Thought, and Chain-of-Thought Few-Shot) outperform Zero-Shot prompting by up to 25% in functional correctness, 31% in BLEU-3 score, and 50% in ROUGE-L, while also producing code that is more readable and maintainable. The results also indicate that procedural logic and control flow errors are the most prominent, accounting for 31% of all errors. This study provides valuable insights to guide future research in developing techniques and tools that enhance the quality and reliability of LLM-generated code for complex software development tasks.",2576-3148,979-8-3315-9587-6,10.1109/ICSME64153.2025.00083,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185857,code generation;prompt engineering;empirical software engineering;ai for software engineering,Software maintenance;Codes;Systematics;Large language models;Encoding;Software reliability;Logic;Prompt engineering;Software engineering;Software development management,,,,30.0,IEEE,31 Oct 2025,,,IEEE,IEEE Conferences
Implementing Artificial Intelligence in Physiotherapy Education: A Case Study on the Use of Large Language Models (LLM) to Enhance Feedback,I. Villagrán; R. Hernández; G. Schuit; A. Neyem; J. Fuentes-Cimma; C. Miranda; I. Hilliger; V. Durán; G. Escalona; J. Varas,"Department of Computer Science, Faculty of Engineering, and the Health Science Department, Faculty of Medicine, Pontificia Universidad Católica de Chile, Santiago, Chile; Department of Computer Science, Faculty of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Department of Computer Science, Faculty of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Department of Computer Science, Faculty of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Health Science Department, Faculty of Medicine, Pontificia Universidad Católica de Chile, Santiago, Chile; Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA; Engineering Education Unit, School of Engineering, Pontificia Universidad Católica de Chile, Santiago, Chile; Experimental Surgery and Simulation Center, Department of Digestive Surgery, Pontificia Universidad Católica de Chile, Santiago, Chile; Experimental Surgery and Simulation Center, Department of Digestive Surgery, Pontificia Universidad Católica de Chile, Santiago, Chile; Experimental Surgery and Simulation Center, Department of Digestive Surgery, Pontificia Universidad Católica de Chile, Santiago, Chile",IEEE Transactions on Learning Technologies,13 Sep 2024,2024,17,,2025,2036,"This article presents a controlled case study focused on implementing and using generative artificial intelligence, specifically large language models (LLMs), in physiotherapy education to assist instructors with formulating effective technology-mediated feedback for students. It outlines how these advanced technologies have been integrated into an existing feedback-oriented platform to guide instructors in providing feedback inputs and establish a reference framework for future innovations in practical skills training for health professions education. Specifically, the proposed solution uses LLMs to automatically evaluate feedback inputs made by instructors based on predefined and literature-based quality criteria and generates actionable textual explanations for reformulation. In addition, if the instructor requires, the tool supports summary generation for large sets of text inputs to achieve better student reception and understanding. The case study describes how these features were integrated into the feedback-oriented platform, how their effectiveness was evaluated in a controlled setting with documented feedback inputs, and the results of its implementation with real users through cognitive walkthroughs. Initial results indicate that this innovative implementation holds great potential to enhance learning and performance in physiotherapy education and has the potential to expand to other health disciplines where the development of procedural skills is critical, offering a valuable tool to assess and improve feedback based on quality standards for effective feedback processes. The cognitive walkthroughs allowed us to determine participants' usability decisions in the face of these new features and to evaluate the perceived usefulness, how this would integrate into their workload, and their opinion regarding the potential for the future within this teaching strategy. This article concludes with a discussion of the implications of these findings for practice and future research directions in this developing field.",1939-1382,,10.1109/TLT.2024.3450210,"National Agency for Research and Development; Scholarship Program DOCTORADO BECAS CHILE/2020-21202032; National Center for Artificial Intelligence, Chilean National Agency for Research and Development; National Center for Artificial Intelligence(grant numbers:FB210017); Basal ANID Pontificia Universidad Católica de Chile(grant numbers:FONDEDOC-2022); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10648793,Feedback;generative artificial intelligence (AI);health science education;large language models (LLMs);procedural skills;technology-enhanced learning,Artificial intelligence;Training;Task analysis;Reviews;Logic gates;Tutorials;Large language models,,8.0,,34.0,IEEE,26 Aug 2024,,,IEEE,IEEE Journals
MAGE: A Multi-Agent Engine for Automated RTL Code Generation,Y. Zhao; H. Zhang; H. Huang; Z. Yu; J. Zhao,"University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA; University of California San Diego, La Jolla, CA, USA",2025 62nd ACM/IEEE Design Automation Conference (DAC),15 Sep 2025,2025,,,1,7,"The automatic generation of RTL code (e.g., Verilog) through natural language instructions has emerged as a promising direction with the advancement of large language models (LLMs). However, producing RTL code that is both syntactically and functionally correct remains a significant challenge. Existing single-LLM-agent approaches face substantial limitations because they must navigate between various programming languages and handle intricate generation, verification, and modification tasks. To address these challenges, this paper introduces MAGE, the first open-source1 multi-agent AI system designed for robust and accurate Verilog RTL code generation. We propose a novel high-temperature RTL candidate sampling and debugging system that effectively explores the space of code candidates and significantly improves the quality of the candidates. Furthermore, we design a novel Verilog-state checkpoint checking mechanism that enables early detection of functional errors and delivers precise feedback for targeted fixes, significantly enhancing the functional correctness of the generated RTL code. MAGE achieves a 95.7% rate of syntactic and functional correctness code generation on VerilogEval-Human v2 benchmark, surpassing the state-of-the-art Claude-3.5-sonnet by 23.3%, demonstrating a robust and reliable approach for AIdriven RTL design workflows.1MAGE is open-sourced at https://github.com/stable-lab/ MAGE-A-Multi-Agent-Engine-for-Automated-RTL-Code-Generation",,979-8-3315-0304-8,10.1109/DAC63849.2025.11133191,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11133191,,Codes;Accuracy;Navigation;Natural languages;Debugging;Syntactics;Reliability engineering;Space exploration;Hardware design languages;Multi-agent systems,,4.0,,34.0,IEEE,15 Sep 2025,,,IEEE,IEEE Conferences
Descriptor: A Corpus of Synthesizable Verilog RTL Modules Dataset for EDA Research (CORE),K. K. Cheah; F. Q. Chua; Y. Zhang; Z. Lin; Y. Ji; Y. Zhang; X. Guo; H. Ramiah; Y. Li,"School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China; Global Institute, Shanghai Jiao Tong University, Shanghai, China; Department of Electrical Engineering, University of Malaya, Malaysia; School of Integrated Circuits, Shanghai Jiao Tong University, Shanghai, China",IEEE Data Descriptions,,2025,PP,99.0,1,9,"This paper introduces the Verilog Core Dataset (CORE), a systematically curated corpus of 137 synthesizable Verilog HDL modules spanning 24 distinct categories of digital logic designs Unlike existing RTL benchmark suites that suffer from outdated designs, inconsistent quality, and limited configurability, CORE is purpose-built to address these limitations through a rigorous methodology that combines large language model (LLM)-assisted code generation, human expert refinement, and comprehensive verification pipelines. Each module is accompanied by a respective testbench for functional simulation, and adheres to Verilog-1995 and SystemVerilog-2012 standards, ensuring broad tool compatibility and synthesis readiness. CORE’s parameterized and scalable designs enable structural variation, making it uniquely suited for ML4EDA research, design-space exploration, and Design-Technology Co-Optimization (DTCO) workflows. By offering a reproducible, extensible, and standards-compliant RTL corpus, CORE establishes a new foundation for benchmarking, education, and innovation in digital system design.",2995-4274,,10.1109/IEEEDATA.2025.3620273,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11199850,CORE (Corpus Of RTL designs);Dataset;Digital Design;Register-Transfer Level (RTL),Hardware design languages;Register transfer level;Benchmark testing;Documentation;Codes;Standards;Logic gates;Libraries;IP networks;Encoding,,1.0,,,CCBY,10 Oct 2025,,,IEEE,IEEE Early Access Articles
ChIRAAG: ChatGPT Informed Rapid and Automated Assertion Generation,B. Mali; K. Maddala; V. Gupta; S. Reddy; C. Karfa; R. Karri,"Indian Institute of Technology Guwahati, India; Indian Institute of Technology Guwahati, India; Indian Institute of Technology Guwahati, India; Indian Institute of Technology Guwahati, India; Indian Institute of Technology Guwahati, India; New York University, USA",2024 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),25 Sep 2024,2024,,,680,683,"System Verilog Assertion (SVA) formulation- a critical yet complex task is a prerequisite in the Assertion Based Verification (ABV) process. Traditionally, SVA formulation involves expert-driven interpretation of specifications, which is time-consuming and prone to human error. Recently, LLM-informed automatic assertion generation is gaining interest. We designed a novel framework called ChIRAAG, based on OpenAI GPT4, to generate SVA from natural language specifications of a design. ChIRAAG constitutes the systematic breakdown of design specifications into a standardized format, further generating assertions from formatted specifications using LLM. Furthermore, we used few test cases to validate the LLM-generated assertions. Automatic feedback of log messages from the simulation tool to the LLM ensures that the framework can generate correct SVAs. In our experiments, only 27% of LLM-generated raw assertions had errors, which was rectified in few iterations based on the simulation log. Our results on OpenTitan designs show that LLMs can streamline and assist engineers in the assertion generation process, reshaping verification workflows.",2159-3477,979-8-3503-5411-9,10.1109/ISVLSI61997.2024.00130,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10682649,Assertion Generation;LLM;Assertion Based Verification,Systematics;Accuracy;Electric breakdown;Natural languages;Very large scale integration;Syntactics;Chatbots,,17.0,,10.0,IEEE,25 Sep 2024,,,IEEE,IEEE Conferences
(Invited Paper) Are Llms Any Good for High-Level Synthesis?,Y. Liao; T. Adegbija; R. Lysecky,"Electrical and Computer Engineering University of Arizona, Tucson, Arizona, USA; Electrical and Computer Engineering University of Arizona, Tucson, Arizona, USA; Electrical and Computer Engineering University of Arizona, Tucson, Arizona, USA",2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),29 Aug 2025,2024,,,1,8,"The increasing complexity and demand for faster, energy-efficient hardware designs necessitate innovative High-Level Synthesis (HLS) methodologies. This paper explores the potential of Large Language Models (LLMs) to streamline or replace the HLS process, leveraging their ability to understand natural language specifications and refactor code. We survey the current research and conduct experiments comparing Verilog designs generated by a standard HLS tool (Vitis HLS) with those produced by LLMs translating C code or natural language specifications. Our evaluation focuses on quantifying the impact on performance, power, and resource utilization, providing an assessment of the efficiency of LLM-based approaches. This study aims to illuminate the role of LLMs in HLS, identifying promising directions for optimized hardware design in applications such as AI acceleration, embedded systems, and high-performance computing.",1558-2434,979-8-4007-1077-3,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11126261,High-level synthesis;hardware accelerator design;electronic design automation;large language models,Surveys;Codes;Design automation;Translation;Large language models;Benchmark testing;Energy efficiency;Complexity theory;Resource management;Hardware design languages,,,,30.0,,29 Aug 2025,,,IEEE,IEEE Conferences
